annee,indicateur,valeur,unite,denominateur,source,note
1986,taux d'équilibre,0.10294671,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1987,taux d'équilibre,0.1141994,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1988,taux d'équilibre,0.12199475,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1989,taux d'équilibre,0.12222387,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1990,taux d'équilibre,0.12047337,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1991,taux d'équilibre,0.12560947,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
2000,taux d'équilibre,0.17110634,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2001,taux d'équilibre,0.17278586,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2002,taux d'équilibre,0.18095195,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2003,taux d'équilibre,0.18577016,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2004,taux d'équilibre,0.19417909,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2005,taux d'équilibre,0.20079612,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2006,taux d'équilibre,0.20949348,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2007,taux d'équilibre,0.21837316,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2008,taux d'équilibre,0.22569323,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2009,taux d'équilibre,0.2314041,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2010,taux d'équilibre,0.2477336,taux,masse salariale de l'État (approximation),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; avec le salaire moyen publié (979,158 D) appliqué à tous les affiliés, il serait de 22,1 % : écart non corrigé"
2011,taux d'équilibre,0.25083262,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2012,taux d'équilibre,0.25360857,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2013,taux d'équilibre,0.25798647,taux,masse salariale de l'État (approximation),calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2014,taux d'équilibre,0.25774582,taux,cotisations,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2015,taux d'équilibre,0.27166395,taux,cotisations,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2016,taux d'équilibre,0.27519236,taux,cotisations,calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; 2016 atypique : des primes spécifiques créées ou revalorisées cette année-là ont ajouté plus de 110 MD de cotisations (états financiers 2016, p. 51)"
2017,taux d'équilibre,0.30498293,taux,cotisations,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2018,taux d'équilibre,0.33069085,taux,cotisations,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2019,taux d'équilibre,0.336878,taux,cotisations reconstituées,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2020,taux d'équilibre,0.32410004,taux,cotisations reconstituées,calcul,numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants
2021,taux d'équilibre,0.33923961,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,ESTIMATION : numérateur estimé ÷ dénominateur estimé = remplacement apparent × ratio pensions / cotisants
2022,taux d'équilibre,0.33305451,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,"ESTIMATION : numérateur estimé ÷ dénominateur estimé ; sans affiliés actifs publiés, pas de décomposition"
2023,taux d'équilibre,0.3573875,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,"ESTIMATION : numérateur estimé ÷ dénominateur estimé ; sans affiliés actifs publiés, pas de décomposition"
2014,"taux d'équilibre, régime général seul",0.25495978,taux,cotisations,"calcul ; dépenses : CNRPS, états financiers 2015, p. 36, lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2015,"taux d'équilibre, régime général seul",0.26933069,taux,cotisations,"calcul ; dépenses : CNRPS, états financiers 2016, p. 54, recoupé par états financiers 2015, p. 36, lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2016,"taux d'équilibre, régime général seul",0.2724596,taux,cotisations,"calcul ; dépenses : CNRPS, états financiers 2016, p. 54, lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2017,"taux d'équilibre, régime général seul",0.30089594,taux,cotisations,"calcul ; dépenses : CNRPS, états financiers 2018 (provisoires), p. 62, lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2018,"taux d'équilibre, régime général seul",0.3221696,taux,cotisations,"calcul ; dépenses : CNRPS, états financiers 2018 (provisoires), p. 62, lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2019,"taux d'équilibre, régime général seul",0.32938795,taux,cotisations reconstituées,"calcul ; dépenses : CNRPS, rapport d'activité 2020, p. 26 et 27 (p. imprimées 25 et 26), lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2020,"taux d'équilibre, régime général seul",0.31993622,taux,cotisations reconstituées,"calcul ; dépenses : CNRPS, rapport d'activité 2020, p. 26 et 27 (p. imprimées 25 et 26), lecture texte",dépenses du seul régime général ÷ dénominateur : même périmètre au numérateur et au dénominateur
2021,"taux d'équilibre, variante : masse tirée des recettes techniques",0.33873532,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"calcul ; recettes techniques : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 et rapport EP, LF 2024 (ar), tableau 28, p. 68",VARIANTE non retenue : dénominateur = masse de 2020 × (recettes techniques de la caisse ÷ taux légal) rapportées à celles de 2020 ; même numérateur
2022,"taux d'équilibre, variante : masse tirée des recettes techniques",0.32628335,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"calcul ; recettes techniques : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 et rapport EP, LF 2024 (ar), tableau 28, p. 68",VARIANTE non retenue : dénominateur = masse de 2020 × (recettes techniques de la caisse ÷ taux légal) rapportées à celles de 2020 ; même numérateur
2023,"taux d'équilibre, variante : masse tirée des recettes techniques",0.33433597,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"calcul ; recettes techniques : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 et rapport EP, LF 2024 (ar), tableau 28, p. 68",VARIANTE non retenue : dénominateur = masse de 2020 × (recettes techniques de la caisse ÷ taux légal) rapportées à celles de 2020 ; même numérateur
1980,taux de remplacement apparent,0.45122606,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1985,taux de remplacement apparent,0.62306631,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1986,taux de remplacement apparent,0.60448908,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1987,taux de remplacement apparent,0.63223699,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1988,taux de remplacement apparent,0.64780705,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1989,taux de remplacement apparent,0.63316581,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1990,taux de remplacement apparent,0.61258063,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
1991,taux de remplacement apparent,0.62355112,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pension moyenne ÷ salaire moyen
2000,taux de remplacement apparent,0.58244169,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2001,taux de remplacement apparent,0.57056504,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2002,taux de remplacement apparent,0.57900153,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2003,taux de remplacement apparent,0.56879099,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2004,taux de remplacement apparent,0.58749405,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2005,taux de remplacement apparent,0.58204244,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2006,taux de remplacement apparent,0.58991587,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2007,taux de remplacement apparent,0.62113852,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2008,taux de remplacement apparent,0.61751542,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2009,taux de remplacement apparent,0.61258649,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2010,taux de remplacement apparent,0.62836802,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2011,taux de remplacement apparent,0.63387873,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2012,taux de remplacement apparent,0.64775862,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2013,taux de remplacement apparent,0.66594399,taux,masse salariale de l'État (approximation),calcul,pension moyenne ÷ salaire moyen
2014,taux de remplacement apparent,0.63337375,taux,cotisations,calcul,pension moyenne ÷ salaire moyen
2015,taux de remplacement apparent,0.6371339,taux,cotisations,calcul,pension moyenne ÷ salaire moyen
2016,taux de remplacement apparent,0.62631614,taux,cotisations,calcul,pension moyenne ÷ salaire moyen
2017,taux de remplacement apparent,0.66464433,taux,cotisations,calcul,pension moyenne ÷ salaire moyen
2018,taux de remplacement apparent,0.66224913,taux,cotisations,calcul,pension moyenne ÷ salaire moyen
2019,taux de remplacement apparent,0.65520978,taux,cotisations reconstituées,calcul,pension moyenne ÷ salaire moyen
2020,taux de remplacement apparent,0.63132949,taux,cotisations reconstituées,calcul,pension moyenne ÷ salaire moyen
2021,taux de remplacement apparent,0.64433875,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,pension moyenne ÷ salaire moyen
1980,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1985,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1986,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1987,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1988,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1989,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1990,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
1991,taux légal global (agent + employeur),0.12,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","5 % + 7 %, inchangés de la gestion 1975 au 30 juin 1994"
2000,taux légal global (agent + employeur),0.142,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2001,taux légal global (agent + employeur),0.142,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2002,taux légal global (agent + employeur),0.147,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2003,taux légal global (agent + employeur),0.1545,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2004,taux légal global (agent + employeur),0.1595,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2005,taux légal global (agent + employeur),0.16325,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2006,taux légal global (agent + employeur),0.16575,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2007,taux légal global (agent + employeur),0.175,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2008,taux légal global (agent + employeur),0.185,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2009,taux légal global (agent + employeur),0.195,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2010,taux légal global (agent + employeur),0.197,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2011,taux légal global (agent + employeur),0.202,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2012,taux légal global (agent + employeur),0.207,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2013,taux légal global (agent + employeur),0.207,taux,masse salariale de l'État (approximation),"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2014,taux légal global (agent + employeur),0.207,taux,cotisations,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2015,taux légal global (agent + employeur),0.207,taux,cotisations,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2016,taux légal global (agent + employeur),0.207,taux,cotisations,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2017,taux légal global (agent + employeur),0.207,taux,cotisations,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2018,taux légal global (agent + employeur),0.207,taux,cotisations,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2019,taux légal global (agent + employeur),0.21867,taux,cotisations reconstituées,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2020,taux légal global (agent + employeur),0.237,taux,cotisations reconstituées,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année
2021,taux légal global (agent + employeur),0.237,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année ; inchangé depuis le 1er janvier 2020
2022,taux légal global (agent + employeur),0.237,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année ; inchangé depuis le 1er janvier 2020
2023,taux légal global (agent + employeur),0.237,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",moyenne des douze taux mensuels de l'année ; inchangé depuis le 1er janvier 2020
1980,écart taux d'équilibre − taux légal,-0.03568345,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1985,écart taux d'équilibre − taux légal,-0.02089629,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1986,écart taux d'équilibre − taux légal,-0.01705329,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1987,écart taux d'équilibre − taux légal,-0.0058006,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1988,écart taux d'équilibre − taux légal,0.00199475,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1989,écart taux d'équilibre − taux légal,0.00222387,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1990,écart taux d'équilibre − taux légal,0.00047337,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
1991,écart taux d'équilibre − taux légal,0.00560947,points de taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,taux d'équilibre − taux légal global
2000,écart taux d'équilibre − taux légal,0.02910634,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2001,écart taux d'équilibre − taux légal,0.03078586,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2002,écart taux d'équilibre − taux légal,0.03395195,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2003,écart taux d'équilibre − taux légal,0.03127016,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2004,écart taux d'équilibre − taux légal,0.03467909,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2005,écart taux d'équilibre − taux légal,0.03754612,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2006,écart taux d'équilibre − taux légal,0.04374348,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2007,écart taux d'équilibre − taux légal,0.04337316,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2008,écart taux d'équilibre − taux légal,0.04069323,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2009,écart taux d'équilibre − taux légal,0.0364041,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2010,écart taux d'équilibre − taux légal,0.0507336,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2011,écart taux d'équilibre − taux légal,0.04883262,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2012,écart taux d'équilibre − taux légal,0.04660857,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2013,écart taux d'équilibre − taux légal,0.05098647,points de taux,masse salariale de l'État (approximation),calcul,taux d'équilibre − taux légal global
2014,écart taux d'équilibre − taux légal,0.05074582,points de taux,cotisations,calcul,taux d'équilibre − taux légal global
2015,écart taux d'équilibre − taux légal,0.06466395,points de taux,cotisations,calcul,taux d'équilibre − taux légal global
2016,écart taux d'équilibre − taux légal,0.06819236,points de taux,cotisations,calcul,taux d'équilibre − taux légal global
2017,écart taux d'équilibre − taux légal,0.09798293,points de taux,cotisations,calcul,taux d'équilibre − taux légal global
2018,écart taux d'équilibre − taux légal,0.12369085,points de taux,cotisations,calcul,taux d'équilibre − taux légal global
2019,écart taux d'équilibre − taux légal,0.118208,points de taux,cotisations reconstituées,calcul,taux d'équilibre − taux légal global
2020,écart taux d'équilibre − taux légal,0.08710004,points de taux,cotisations reconstituées,calcul,taux d'équilibre − taux légal global
